AX,AY,AZ,GX,GY,GZ
0.67041,0.649414,0.040039,3.938931,-11.290076,53.778625
0.684814,0.661377,0.035645,1.80916,-10.419847,54.801525
0.70166,0.650391,0.043457,2.969466,-8.969465,48.755726
0.714355,0.631104,0.042969,3.244275,-7.870229,49.305344
0.734131,0.618896,0.04541,3.961832,-8.503817,48.198475
0.739502,0.615723,0.041992,4.160306,-8.954199,47.335876
0.734131,0.604492,0.041504,3.793893,-10.015267,47.053436
0.751709,0.608154,0.027832,3.19084,-9.977099,47.587788
0.759033,0.595703,0.000244,1.045802,-9.854961,49.038166
0.788574,0.592529,0.00708,-1.015267,-8.961832,48.435116
0.796387,0.593506,-0.002197,-0.923664,-8.603053,46.801525
0.794678,0.603271,0.013184,-1.816794,-8.312977,42.725189
0.7854,0.61792,-0.006592,-1.442748,-8.641221,39.824429
0.776855,0.61377,0.004395,-0.068702,-8.519084,39.183205
0.770996,0.62915,0.012939,1.557252,-8.206107,37.519085
0.758789,0.635498,0.017334,2.923664,-7.603054,37.083969
0.753906,0.633545,0.025879,3.954198,-6.419847,37.145039
0.764404,0.618164,0.022461,4.824428,-5.770992,39.068703
0.75708,0.608398,0.025391,6.175572,-4.847328,41.572517
0.746582,0.59082,0.027832,6.755725,-3.870229,45.862595
0.740479,0.585938,0.033936,7.587786,-2.824427,49.763359
0.741943,0.580078,0.041992,7.366412,-1.419847,49.786259
0.745361,0.580566,0.029541,6.709924,0.137405,48.587788
0.758057,0.583008,0.024414,6.931298,2.015267,48.709923
0.754395,0.568848,0.019531,8.099236,3.48855,49.099236
0.762451,0.5625,0.022949,9.335877,4.793893,49.053436
0.760742,0.542725,0.011963,10.175572,5.61832,50.412212
0.777832,0.527588,0.021729,10.358779,5.954198,50.206108
0.78125,0.511719,0.013916,9.900764,6.167939,48.809162
0.776611,0.50293,0.007324,8.709924,6.412214,48.557251
0.770752,0.499512,0.014648,8.351145,6.78626,49.053436
0.775879,0.50708,0.024658,8.488549,8.343512,49.190838
0.784912,0.518555,0.006104,8.717557,9.374045,45.984734
0.774414,0.512207,0.010986,9.442748,10.763359,43.0
0.762695,0.509277,0.005859,8.969465,11.488549,42.099236
0.751465,0.506836,0.010742,8.580153,12.236641,42.793892
0.75708,0.497314,0.01123,7.908397,11.114504,43.221375
0.759277,0.489746,0.012451,6.847328,9.343512,44.122139
0.738525,0.488525,0.023682,6.236641,10.053435,44.694656
0.711914,0.439209,0.000732,4.48855,12.389313,43.580154
0.744141,0.524414,0.03833,4.847328,13.305344,47.870228
0.727295,0.480225,0.022949,3.083969,13.229008,46.152672
0.711914,0.482178,0.01416,5.328244,13.694656,48.893131
0.708008,0.465088,0.015869,4.480916,13.343512,48.946564
0.701172,0.469971,0.0354,4.839694,13.687023,52.389313
0.692871,0.439941,0.029297,5.175572,13.488549,55.34351
0.669434,0.409424,0.02832,4.885496,13.625955,59.603054
0.653809,0.392822,0.056641,3.076336,14.122137,64.648857
0.650635,0.371338,0.057617,2.435115,14.824428,69.198471
0.631592,0.38208,0.056885,1.954198,15.755725,72.992363
0.640869,0.394531,0.048828,1.290076,17.259542,74.931297
0.676025,0.39917,0.043457,0.557252,18.534351,77.305344
0.692627,0.388184,0.041992,0.137405,18.900763,79.519081
0.68335,0.368896,0.02124,-0.335878,18.099237,78.954201
0.700195,0.345703,0.014893,-1.206107,15.992367,78.389313
0.702881,0.331543,-0.002197,-2.0,13.068703,78.954201
0.688721,0.318115,0.013916,-2.793893,9.198473,80.702293
0.689453,0.324463,0.024658,-3.89313,4.938931,81.374046
0.651855,0.328369,0.05127,-4.534351,1.129771,79.106873
0.610352,0.331787,0.061768,-1.290076,0.465649,80.534348
0.558838,0.312988,0.067139,0.59542,1.717557,86.122139
0.537842,0.296143,0.068115,2.167939,4.206107,88.534348
0.512451,0.262207,0.061523,1.229008,7.473282,90.251907
0.456543,0.231201,0.067139,0.824427,9.946565,91.870232
0.434326,0.171143,0.065186,-0.381679,11.114504,98.312981
0.379639,0.122803,0.080566,-1.992366,9.854961,105.633591
0.333008,0.077148,0.076904,-3.167939,7.839694,115.412216
0.33252,0.036621,0.073486,-4.694656,6.59542,124.610687
0.351318,-0.022949,0.089844,-7.557252,5.450382,127.984734
0.391602,-0.083252,0.101074,-8.343512,4.885496,125.076332
0.450928,-0.16333,0.091797,-12.80916,1.541985,118.190842
0.485352,-0.267822,0.041748,-14.267176,-6.679389,110.977097
0.599854,-0.263428,0.021484,-14.687023,-20.534351,97.664124
0.655762,-0.289062,-0.007568,-17.992367,-34.969467,83.786263
0.740967,-0.388428,-0.04541,-13.580153,-43.64122,78.969467
0.721436,-0.44165,-0.093018,-1.824427,-39.091602,83.511452
0.760986,-0.511475,-0.154297,7.312977,-29.137405,85.496185
0.768555,-0.433838,-0.192139,-1.122137,-21.351145,54.748093
0.899902,-0.358154,-0.26001,-3.618321,-13.839695,18.32061
1.122803,-0.373291,-0.399902,18.885496,5.458015,10.274809
0.999512,-0.193359,-0.30957,21.480917,13.946565,1.755725
0.848145,-0.215576,-0.197266,9.465649,-3.564885,-6.045802
0.841553,-0.396729,-0.144531,-16.106871,-32.793892,24.221375
1.236572,-0.90332,-0.392578,-93.740456,-42.862595,188.244278
1.760742,-1.858887,-0.05542,-247.687027,48.396946,250.129776
1.999939,-2.0,0.678467,-250.137405,81.412216,250.129776
1.999939,-2.0,1.302734,-250.137405,250.129776,189.625961
0.68042,1.432861,1.999939,-250.137405,215.244278,-250.137405
1.058838,0.469971,1.404785,66.435112,156.816788,99.022903
1.999939,-0.601318,0.106934,250.129776,108.847328,250.129776
1.999939,-0.49292,-1.299805,250.129776,-77.854965,-136.160309
1.999939,0.427246,-0.544434,22.908398,-250.137405,-35.687023
-0.820312,-2.0,-1.780518,-14.946565,-180.824432,-211.71756
-2.0,-2.0,-2.0,-29.099237,-5.08397,-210.083969
1.999939,-0.3396,-0.405762,-250.137405,-2.236641,250.129776
1.999939,0.777588,1.999939,250.129776,-250.137405,250.129776
-1.830322,0.823975,1.746582,-73.496185,-62.488548,169.908401
1.155762,-2.0,-0.675293,39.671757,104.183205,-169.198471
-0.340088,-1.232666,-0.24585,-0.183206,71.129768,-25.068703
1.040771,-0.63208,-0.25415,-41.389313,175.145035,-111.152672
1.999939,-0.776123,-0.555908,112.770996,32.335876,-250.137405
0.839844,-1.334717,-0.643799,74.656487,-27.984734,-250.137405
-0.481689,0.025635,-0.502197,-10.045801,-48.122139,-29.961832
0.393066,-0.853027,-0.755615,-43.923664,-42.122139,77.60305
0.976318,-0.241699,-0.378662,-66.404579,-56.793892,78.511452
0.974365,0.060791,-0.039062,-75.931297,-59.595421,19.343512
0.820557,0.393311,0.376953,-41.198475,-42.167938,-24.404581
0.689453,0.602539,0.59668,-52.877861,-11.625955,-55.992367
0.759033,0.337402,0.496826,-58.534351,-7.603054,-51.923664
0.670166,0.211914,0.436768,-39.007633,-30.572519,-5.992366
0.889648,0.210205,0.312744,-45.770992,-125.28244,70.076332
0.895996,0.039551,0.157715,9.80916,-65.770996,96.893127
0.762939,-0.740479,-0.343994,67.564888,-7.70229,107.557251
1.163574,0.057373,-0.246338,46.465649,-51.70229,113.190842
1.129395,-0.233154,-0.281982,26.740458,-11.885496,77.60305
1.17334,-0.169434,-0.237549,8.160305,2.21374,63.854961
1.111816,-0.23999,-0.208252,6.068702,14.366412,25.396946
1.08252,-0.20874,-0.152588,6.526718,16.312977,12.916031
1.137207,-0.135742,-0.044189,-2.29771,7.358778,12.083969
1.180176,-0.159668,-0.01709,-12.969465,-2.099237,0.114504
1.150146,-0.134277,0.01709,-21.229008,-10.343512,-17.267176
1.049561,-0.217285,0.027588,-31.946566,-17.786259,-21.687023
0.968262,-0.180176,0.039551,-29.969465,-21.885496,-11.137404
0.915283,-0.311523,0.057129,-16.32061,-27.244274,-8.229008
0.876465,-0.339111,0.045654,1.938931,-29.885496,-3.763359
0.91333,-0.328369,0.020264,6.847328,-30.175573,-2.435115
0.911377,-0.33374,0.001221,6.030534,-29.519083,3.129771
0.88623,-0.291748,-0.006836,8.175572,-26.694656,8.305344
0.914062,-0.249756,-0.021973,10.801527,-25.412214,13.938931
0.947998,-0.245361,-0.067383,8.770992,-21.305344,18.732824
0.975586,-0.280273,-0.101807,7.030534,-16.770992,27.38168
0.987061,-0.319092,-0.109863,1.572519,-9.236641,29.099237
0.997559,-0.335938,-0.086914,2.526718,-2.572519,23.587786
1.001465,-0.364502,-0.067871,7.679389,5.564886,23.19084
1.025635,-0.370361,-0.046875,11.40458,11.152672,27.48855
1.068115,-0.387939,-0.043701,17.335878,16.137405,29.648855
1.111816,-0.420166,-0.04126,21.854961,14.931297,33.770992
1.111328,-0.462158,-0.054932,26.061069,14.870229,39.160305
1.160156,-0.473877,-0.057617,24.022902,13.045801,38.587788
1.177979,-0.517822,-0.067871,25.900763,14.435115,27.984734
1.209717,-0.517822,-0.071777,18.587786,9.755725,21.251909
1.216553,-0.544922,-0.081543,14.473283,8.664123,4.748092
1.178223,-0.547119,-0.079346,17.954199,10.900764,1.305344
1.183105,-0.447998,-0.052246,14.839695,12.580153,-11.908397
1.178955,-0.429443,-0.038818,9.152672,13.129771,-19.51145
1.160645,-0.454102,-0.050293,4.19084,10.137404,-25.992367
