AX,AY,AZ,GX,GY,GZ
0.004395,0.994385,0.098145,-5.954198,4.931298,3.816794
0.001221,1.0,0.102783,-7.664122,3.862595,3.274809
-0.000488,0.99292,0.081299,-7.21374,3.21374,3.145038
-0.007324,0.991211,0.064453,-5.061069,1.694656,3.167939
-0.001953,0.996338,0.072021,-6.175572,1.091603,2.862595
-0.004395,1.002686,0.074463,-6.290076,0.969466,3.068702
-0.01123,1.014404,0.039307,-5.045802,2.961832,4.519084
-0.002197,1.015625,0.032959,-4.824428,4.137404,4.877862
-0.000488,1.008301,0.01709,-8.015267,4.694656,4.541985
0.006348,0.992432,0.025879,-7.030534,4.847328,4.778626
0.005615,0.986328,0.008057,-8.137404,5.442748,4.70229
0.003906,0.976562,0.018799,-10.725191,5.664122,4.496183
0.003906,0.987305,0.024902,-9.038168,6.328244,5.183206
0.000488,1.001709,0.025635,-8.282443,5.503817,6.21374
0.013916,1.006592,0.022705,-12.923664,5.282443,5.938931
0.015137,1.005615,0.009033,-18.244274,6.045802,5.183206
0.003418,1.007324,0.026123,-15.656488,3.732824,6.610687
0.009766,1.022217,0.043945,-24.32061,2.40458,4.847328
0.010498,1.023438,0.078369,-25.038168,2.328244,4.48855
0.009766,1.03418,0.081299,-25.70229,0.244275,4.900764
0.006104,1.02832,0.080566,-26.198473,-1.572519,6.015267
0.010742,1.042725,0.086182,-26.717558,-4.328244,6.480916
0.010742,1.05127,0.06958,-28.946566,-7.267176,6.412214
0.018799,1.047607,0.054443,-31.068703,-8.442748,5.801527
0.021484,1.03125,0.053955,-31.80916,-9.511451,5.450382
0.010986,1.036377,0.033936,-33.770992,-9.122137,4.984733
0.019775,1.030762,0.029785,-33.633587,-8.755725,5.145038
0.020752,1.033447,0.033447,-32.862595,-8.259542,4.61832
0.027832,1.028076,0.005615,-30.374046,-7.08397,4.076336
0.024658,1.018555,-0.001953,-30.244274,-5.625954,3.40458
0.020264,1.012939,-0.002686,-29.114504,-3.236641,2.748092
0.016357,1.012207,-0.003906,-29.961832,-1.465649,2.10687
0.03125,1.013672,-0.001465,-31.427481,0.580153,1.534351
0.032715,1.006592,-0.009277,-32.167938,2.984733,1.259542
0.041016,1.011963,-0.006348,-32.34351,4.061069,0.587786
0.043213,1.000488,-0.010254,-33.244274,3.694656,0.633588
0.037109,0.995117,-0.008789,-35.122139,1.954198,-0.183206
0.029053,0.979004,-0.007568,-36.549618,0.145038,-0.534351
0.03125,0.961426,-0.008545,-38.34351,-1.198473,-1.450382
0.036377,0.954102,0.005371,-40.076336,-3.122137,-2.549618
0.037598,0.958252,0.014404,-43.404579,-5.351145,-4.59542
0.045166,0.959229,0.034424,-49.206108,-6.549618,-8.366412
0.048096,0.959717,0.031006,-50.34351,-6.679389,-10.129771
0.040771,0.958496,0.067383,-53.0,-5.221374,-11.648855
0.02124,0.964111,0.096191,-48.198475,-3.503817,-10.122137
0.021973,0.965576,0.103271,-48.786259,-3.832061,-9.351145
0.012451,0.953125,0.110596,-49.725189,-3.877863,-8.068703
0.01709,0.940186,0.119385,-51.496181,-4.938931,-6.816794
0.006592,0.918701,0.135498,-52.900764,-6.572519,-5.40458
0.015137,0.901123,0.150635,-55.183205,-5.221374,-4.870229
0.02002,0.87915,0.13916,-56.732826,-1.877863,-2.312977
0.024902,0.870117,0.155029,-58.580154,0.908397,-0.519084
0.02832,0.851807,0.19043,-60.580154,4.244275,-0.343511
0.006836,0.833008,0.241211,-61.572517,5.709924,-0.083969
-0.012695,0.823975,0.274902,-66.885498,5.10687,-0.335878
-0.026611,0.82959,0.286621,-50.106869,1.328244,-2.694656
-0.036133,0.827637,0.29248,-52.206108,6.312977,3.59542
-0.026855,0.821533,0.335205,-58.473282,4.870229,6.854962
0.004395,0.80542,0.329102,-56.374046,6.40458,9.251908
0.022705,0.819092,0.369873,-60.282444,7.679389,7.816794
0.035156,0.830566,0.409912,-62.213741,8.221375,7.007634
0.035889,0.830078,0.418701,-65.251907,6.694656,5.78626
0.035156,0.848145,0.427734,-69.908394,4.938931,3.198473
0.018555,0.838867,0.425537,-73.664124,-0.21374,2.351145
-0.001465,0.838135,0.432373,-73.648857,-3.519084,2.923664
0.000977,0.823242,0.459229,-73.244278,-6.351145,2.877863
0.015381,0.816406,0.481689,-73.862595,-7.977099,2.412214
0.024658,0.803223,0.491699,-77.374046,-8.160305,1.236641
0.024902,0.795898,0.502197,-80.687019,-8.748092,1.007634
0.033447,0.775635,0.536865,-82.068703,-9.801527,-0.022901
0.042969,0.772705,0.526611,-84.251907,-10.610687,-1.251908
0.05249,0.763672,0.552246,-85.709923,-9.832061,-1.656489
0.07251,0.745605,0.567871,-84.900764,-10.045801,-2.152672
0.070312,0.724121,0.576904,-80.442749,-9.21374,-2.045802
0.075195,0.705078,0.609131,-78.274811,-7.480916,-2.564885
0.077637,0.679932,0.644043,-76.053436,-3.854962,-2.366412
0.071289,0.664795,0.687988,-76.671753,-1.053435,-2.954198
0.06665,0.643311,0.729492,-76.251907,-0.435115,-3.305344
0.054199,0.619873,0.784424,-74.916031,-0.80916,-3.450382
0.037354,0.621582,0.799316,-76.595421,-3.80916,-4.59542
0.022705,0.618896,0.814697,-76.778625,-7.358778,-3.580153
0.021973,0.5979,0.841309,-74.465652,-9.488549,-3.206107
0.01416,0.5896,0.835449,-74.381676,-9.0,-3.419847
0.005127,0.572021,0.863281,-69.824425,-7.137404,-2.564885
0.001953,0.541748,0.881104,-67.305344,-5.954198,-4.007634
0.001221,0.55835,0.850342,-64.96183,-4.244275,-7.59542
-0.020508,0.564453,0.843262,-62.755726,-3.717557,-4.48855
-0.012207,0.565186,0.843018,-60.282444,-6.007634,-5.839694
-0.012451,0.568115,0.805664,-58.610687,-8.267176,-4.931298
-0.005859,0.542236,0.782715,-56.374046,-10.648855,-3.221374
-0.003174,0.521973,0.757324,-50.832062,-13.740458,-1.458015
0.003418,0.513184,0.720703,-48.801525,-16.19084,-2.580153
0.014404,0.515137,0.686768,-49.709923,-16.847328,-4.763359
0.030273,0.544678,0.624756,-52.076336,-16.541985,-7.29771
0.04248,0.553711,0.58252,-55.198475,-14.030535,-5.114504
0.074707,0.567871,0.556152,-58.0229,-8.358779,-6.076336
0.101318,0.557861,0.601807,-58.496181,-0.870229,-7.633588
0.109863,0.559082,0.656738,-59.427483,1.320611,-10.053435
0.108398,0.534424,0.722412,-60.65649,-2.396947,-12.496183
0.098389,0.539062,0.740723,-62.625954,-9.068703,-13.900764
0.083252,0.535156,0.77002,-62.305344,-13.893129,-16.709923
0.037354,0.559082,0.78125,-66.229004,-14.610687,-16.374046
-0.018066,0.553223,0.789551,-78.366409,-14.259542,-16.076336
-0.041016,0.53833,0.753418,-86.687019,-9.603053,-14.198473
-0.050293,0.552002,0.775391,-88.740456,-4.900764,-9.656488
-0.059082,0.544189,0.739502,-92.648857,-2.0,-8.778625
-0.061035,0.5271,0.72876,-97.442749,-0.236641,-6.793893
-0.072754,0.514404,0.761963,-99.183205,1.122137,-4.022901
-0.092529,0.506836,0.794434,-99.618324,1.961832,-1.061069
-0.093018,0.492432,0.843994,-102.35878,3.183206,2.351145
-0.061768,0.467529,0.881836,-102.221375,2.412214,6.770992
-0.026611,0.450439,0.875977,-101.030533,5.21374,8.282443
0.000977,0.448486,0.843506,-104.145035,5.908397,9.564885
0.02832,0.416748,0.863281,-110.122139,5.679389,9.885496
0.031982,0.374023,0.888184,-119.122139,8.954199,9.824428
0.046631,0.332764,0.924316,-120.297707,10.488549,9.320611
0.047852,0.324951,0.909912,-126.35878,13.198473,5.687023
0.030029,0.303955,0.89917,-123.366409,16.305344,6.59542
0.040039,0.281494,0.871582,-120.977097,18.458015,6.206107
0.040771,0.27417,0.86792,-119.213737,18.32061,5.053435
0.033203,0.255371,0.879395,-121.404579,15.450381,2.427481
0.023682,0.246826,0.894531,-122.748093,10.412213,1.862595
0.000732,0.241455,0.944092,-113.885498,8.0,4.435114
-0.013916,0.223389,0.980469,-108.824425,7.038168,5.465649
0.00415,0.171387,1.001465,-103.137405,7.099236,6.977099
-0.015869,0.118408,0.990234,-104.832062,3.335878,4.91603
-0.002441,0.081055,1.012695,-112.114502,-1.29771,1.694656
0.00293,0.047852,1.044922,-124.328247,-4.847328,-3.061069
-0.023926,0.043945,1.083984,-141.56488,-3.480916,-7.137404
-0.006348,0.006348,1.08252,-144.557251,-4.91603,-7.664122
0.002441,-0.010742,1.094238,-145.893127,-1.679389,-8.648855
-0.002441,-0.009277,1.151855,-147.328247,3.0,-8.725191
-0.004395,-0.016357,1.220459,-146.687027,8.717557,-8.938931
-0.019775,-0.005127,1.282715,-151.366409,8.694656,-10.687023
-0.02124,-0.002441,1.357422,-154.328247,5.435114,-11.068703
-0.028564,-0.001221,1.388916,-155.618317,-2.908397,-8.40458
-0.04541,-0.063232,1.438477,-148.938934,-11.465649,-9.709924
-0.012451,-0.078369,1.386963,-151.70993,-10.068703,-4.076336
0.008301,-0.121338,1.322021,-143.396942,-13.106871,0.641221
0.027832,-0.177002,1.289551,-135.969467,-11.61832,1.603053
0.063477,-0.225342,1.241943,-136.198471,-14.961832,0.198473
0.073486,-0.294678,1.260498,-143.725189,-10.78626,-0.946565
0.098145,-0.367188,1.179932,-138.351151,-11.854961,-2.839695
0.079102,-0.434326,1.104248,-137.64122,-11.419847,-5.007634
0.05957,-0.492188,1.009277,-133.068695,-6.0,-3.824427
0.059326,-0.557617,0.95752,-123.96183,-0.648855,0.374046
0.073486,-0.62915,0.922119,-112.122139,6.80916,1.824427
0.063721,-0.679199,0.927734,-98.801529,17.083969,2.351145
0.062988,-0.686279,0.943604,-94.068703,20.709923,1.145038
0.067627,-0.721191,1.043213,-92.030533,22.564886,-2.206107
0.043213,-0.740479,1.118896,-90.770996,20.938931,-4.290076
0.022217,-0.755859,1.170898,-93.091606,13.244275,-6.335878
-0.000977,-0.793457,1.15625,-94.725189,4.312977,-7.603054
-0.015137,-0.824463,1.126465,-98.198471,-5.030534,-9.78626
-0.018555,-0.845459,1.144287,-94.305344,-8.519084,-11.099236
-0.025635,-0.830566,1.200439,-94.083969,-9.40458,-13.931297
-0.021729,-0.783447,1.239502,-93.992363,-9.877863,-16.885496
-0.003418,-0.797852,1.293701,-93.839691,-10.022901,-22.374046
-0.034424,-0.774414,1.294189,-91.786263,-10.290076,-22.595419
-0.049805,-0.746826,1.282471,-88.916031,-11.534351,-19.984734
-0.051025,-0.746582,1.241943,-87.32061,-3.732824,-16.770992
-0.039062,-0.769043,1.183105,-77.290077,-2.900763,-12.366412
-0.033203,-0.806641,1.124023,-69.190842,4.167939,-9.671756
-0.011475,-0.842041,1.053711,-61.335876,10.78626,-7.480916
-0.018066,-0.860596,0.994873,-53.0,17.954199,-5.091603
-0.002197,-0.873047,0.986572,-42.870228,24.557251,-4.0
-0.019043,-0.848389,0.972412,-36.236641,32.480915,-5.763359
-0.054932,-0.807129,1.02417,-30.51145,35.045803,-3.717557
-0.073242,-0.787354,1.067627,-24.48855,30.076336,1.549618
-0.061768,-0.776611,1.085449,-23.343512,21.358778,1.946565
-0.049561,-0.767822,1.125244,-15.778625,12.480916,1.48855
-0.027344,-0.769287,1.104004,-11.503817,2.801527,-2.320611
-0.012207,-0.79248,1.05835,-6.152672,-8.656488,-4.969466
0.002197,-0.765137,1.003662,-1.229008,-17.908398,-7.122138
0.000977,-0.749756,0.962158,1.198473,-25.450382,-8.526717
0.003662,-0.746582,0.93042,3.015267,-27.900763,-8.312977
-0.006348,-0.733887,0.90332,3.908397,-29.587786,-8.969465
-0.00708,-0.722656,0.890137,4.152672,-28.045801,-8.38168
-0.00415,-0.712158,0.88208,4.89313,-23.938931,-8.236641
0.000244,-0.688721,0.891602,5.267176,-19.351145,-9.19084
0.000977,-0.657471,0.88623,5.312977,-13.717557,-11.458015
0.000244,-0.629639,0.899902,7.854962,-9.366412,-10.267176
0.012451,-0.611816,0.902832,10.129771,-7.038168,-7.59542
0.023193,-0.608643,0.875977,9.801527,-5.709924,-5.022901
0.027588,-0.601074,0.879395,9.038168,-4.770992,-2.541985
0.04126,-0.60498,0.884033,7.267176,-3.679389,-1.198473
0.044922,-0.590088,0.895996,5.061069,-1.442748,-0.625954
0.037354,-0.578125,0.903076,1.381679,-0.038168,-0.274809
0.041992,-0.575928,0.915771,-1.351145,0.259542,0.305344
0.062744,-0.575439,0.927246,-1.740458,-0.503817,0.244275
0.058105,-0.563721,0.929443,-1.687023,-1.480916,0.847328
0.054443,-0.562744,0.946777,-1.816794,-2.748092,2.335878
0.057129,-0.568604,0.952881,-1.381679,-4.572519,3.687023
0.067627,-0.568604,0.967529,0.267176,-4.343512,4.480916
0.072266,-0.557617,0.988525,1.480916,-3.022901,3.480916
0.061768,-0.533691,1.008789,2.114504,-1.312977,3.229008
0.061523,-0.531006,1.007568,1.19084,1.030534,3.977099
0.054199,-0.531738,1.019287,2.916031,1.541985,5.70229
