AX,AY,AZ,GX,GY,GZ
0.066895,0.963135,-0.247314,-4.175572,12.083969,8.740458
0.077393,0.958496,-0.258545,-3.244275,12.480916,9.160305
0.074219,0.968262,-0.273682,-3.396947,13.580153,9.969465
0.080322,0.966309,-0.288818,-4.870229,14.167939,11.267176
0.091064,0.953369,-0.297607,-8.030535,12.832061,11.564885
0.099609,0.941406,-0.307129,-11.152672,10.458015,11.312977
0.110107,0.92334,-0.309814,-11.374045,7.732824,11.290076
0.115967,0.924805,-0.348389,-12.206107,5.274809,10.061069
0.12085,0.920654,-0.365234,-15.290076,4.061069,9.465649
0.114014,0.929932,-0.380127,-19.419847,2.694656,9.610687
0.124023,0.899658,-0.388428,-17.427481,2.267176,7.748092
0.121338,0.89917,-0.407227,-25.175573,2.908397,5.114504
0.126465,0.898926,-0.415283,-26.007633,2.610687,3.251908
0.124023,0.899658,-0.427979,-30.106871,1.145038,0.007634
0.112549,0.91748,-0.393799,-29.885496,-0.732824,-2.236641
0.106934,0.942871,-0.383545,-31.984734,-3.099237,-3.419847
0.097168,0.966553,-0.35083,-33.877861,-5.076336,-3.374046
0.097168,0.986816,-0.337402,-37.885498,-9.343512,-3.839695
0.112061,0.997314,-0.316406,-40.229008,-13.282443,-4.694656
0.118896,1.013428,-0.3125,-43.61832,-16.725191,-6.755725
0.11499,1.020996,-0.320557,-48.511452,-18.175573,-10.229008
0.098633,1.034668,-0.321289,-51.709923,-18.946566,-11.923664
0.094482,1.075439,-0.301514,-58.450382,-18.267176,-12.854961
0.081055,1.090088,-0.272705,-63.519085,-16.61832,-12.335877
0.079834,1.095459,-0.253174,-63.755726,-14.297709,-8.969465
0.071777,1.093262,-0.257324,-68.511452,-9.458015,-5.419847
0.067139,1.073975,-0.236328,-68.39695,-4.877862,-1.236641
0.067871,1.056885,-0.223389,-69.458015,-0.564885,2.51145
0.077148,1.029541,-0.213135,-70.847328,5.282443,4.557252
0.070801,0.999756,-0.212402,-73.694656,10.664123,5.862596
0.062012,0.967773,-0.171875,-77.39695,16.992367,7.305344
0.05249,0.95459,-0.129395,-79.206108,22.38168,9.862596
0.046387,0.938477,-0.093262,-81.236641,22.854961,9.160305
0.056152,0.931152,-0.035156,-85.061066,21.954199,10.664123
0.076416,0.899414,0.007324,-88.091606,18.954199,12.839695
0.093506,0.888184,0.031982,-91.167938,13.854961,12.40458
0.092041,0.861328,0.060059,-94.106873,11.687023,11.854961
0.090088,0.841309,0.074951,-93.465652,8.167939,10.458015
0.096436,0.817627,0.095947,-92.526718,6.59542,10.870229
0.090088,0.801514,0.113281,-92.877861,5.908397,8.519084
0.103027,0.810059,0.127441,-93.816795,5.29771,6.10687
0.106201,0.797119,0.136719,-94.809158,4.870229,4.183206
0.116699,0.778809,0.140625,-93.793892,3.587786,1.916031
0.117432,0.774658,0.170898,-91.053436,2.328244,0.007634
0.126709,0.774414,0.189941,-90.778625,0.664122,-0.587786
0.114258,0.750732,0.218506,-88.862595,-1.877863,-0.419847
0.113525,0.74292,0.217285,-89.351143,-4.175572,-1.969466
0.108154,0.733887,0.208008,-92.419846,-4.274809,-4.038168
0.109131,0.726074,0.223877,-93.526718,-4.374046,-6.076336
0.10376,0.72998,0.231934,-96.801529,-5.519084,-8.641221
0.091309,0.745361,0.240967,-101.801529,-4.89313,-9.167939
0.085205,0.706055,0.253662,-105.389313,-3.618321,-9.534351
0.08252,0.704102,0.301025,-104.740456,-4.770992,-10.908397
0.069336,0.710205,0.337402,-108.122139,-3.396947,-11.465649
0.053223,0.709229,0.387695,-109.557251,-2.419847,-10.870229
0.053711,0.700684,0.42041,-109.839691,-2.526718,-11.106871
0.045166,0.697266,0.441162,-110.687019,0.503817,-10.885496
0.046631,0.726562,0.473389,-110.633591,4.114504,-10.167939
0.042725,0.733154,0.523682,-110.549622,6.045802,-7.465649
0.035645,0.72583,0.551758,-108.96183,6.351145,-5.38168
0.02832,0.709961,0.557861,-107.725189,5.862596,-4.351145
0.023193,0.708252,0.564697,-105.389313,5.396946,-2.549618
0.033203,0.698242,0.605957,-100.267174,4.717557,-0.78626
0.044434,0.678955,0.621338,-95.870232,2.687023,-1.465649
0.030518,0.677734,0.617188,-93.770996,0.832061,-2.671756
0.039551,0.682861,0.61792,-93.67939,0.061069,-2.908397
0.040771,0.669678,0.605957,-95.045799,-0.618321,-3.343511
0.029297,0.65625,0.594238,-95.671753,-0.587786,-4.519084
0.037354,0.674805,0.605957,-94.183205,-2.083969,-4.480916
0.042236,0.670166,0.602783,-90.374046,-4.343512,-3.389313
0.055908,0.662598,0.594238,-86.450378,-6.580153,-1.984733
0.074463,0.650391,0.601318,-83.732826,-8.145039,-1.015267
