AX,AY,AZ,GX,GY,GZ
0.041504,1.001221,0.132324,-41.419846,-6.435114,-3.694656
0.046875,0.996826,0.146973,-39.732826,-5.694656,-2.992366
0.04834,0.989258,0.14917,-40.465649,-4.625954,-1.442748
0.042725,0.97876,0.147461,-45.34351,-3.580153,-3.305344
0.034424,0.960205,0.158203,-50.633587,-1.687023,-5.648855
0.046143,0.939453,0.165771,-52.770992,0.618321,-6.824428
0.056641,0.935791,0.162354,-57.70229,3.732824,-8.954199
0.067871,0.936035,0.169434,-65.572517,6.137404,-12.61832
0.059082,0.92334,0.146973,-65.030533,4.900764,-13.801527
0.025391,0.923828,0.155762,-59.236641,-6.137404,-14.61832
0.046875,0.963379,0.144775,-57.564884,-3.946565,-9.671756
0.003174,0.902344,0.183105,-49.961834,-15.282443,-12.687023
-0.004395,0.930664,0.18335,-50.755726,-17.740458,-11.167939
0.041016,0.931396,0.260254,-61.007633,-23.51145,-10.030535
0.074951,0.919678,0.320312,-69.465652,-17.816793,-6.61832
0.093262,0.896973,0.312012,-84.770996,-13.984733,-3.534351
0.108154,0.876221,0.306641,-84.045799,-6.351145,0.160305
0.105225,0.847412,0.30542,-88.190842,0.0,0.80916
0.084961,0.79541,0.348145,-78.221375,-4.526718,2.374046
0.071045,0.77002,0.366699,-62.221375,-13.496183,2.877863
0.071289,0.741455,0.431885,-49.229008,-24.923664,-1.022901
0.068115,0.697266,0.42627,-39.030533,-37.61832,-11.083969
0.094482,0.718994,0.430664,-37.480915,-41.938931,-17.167938
0.129395,0.692139,0.45166,-42.992367,-35.435116,-18.557251
0.138184,0.696289,0.453857,-54.854961,-27.687023,-19.404581
0.124268,0.688232,0.505371,-80.229004,-21.053434,-20.167938
0.093262,0.678711,0.582031,-100.862595,-27.328245,-21.687023
0.066895,0.668701,0.617676,-110.389313,-36.511452,-21.526718
0.06958,0.6521,0.651123,-121.519081,-41.083969,-20.770992
0.063232,0.656738,0.713623,-121.694656,-34.053436,-12.946565
0.091553,0.651611,0.7771,-111.442749,-29.099237,-3.816794
0.085693,0.63623,0.810303,-121.816795,-21.007633,9.885496
0.048828,0.593506,0.832275,-114.740456,-9.931297,8.80916
0.067871,0.59375,0.85498,-108.893127,-6.458015,20.045801
-0.02002,0.522217,0.943359,-92.221375,9.78626,22.969465
-0.158447,0.478516,1.36792,-20.335878,57.839695,25.801527
0.010498,0.449219,1.140625,-65.03817,16.908398,1.389313
0.027832,0.41626,1.151611,-56.29771,8.297709,-10.343512
0.056641,0.405518,1.204102,-70.618324,0.824427,-10.709924
0.050293,0.395996,1.183838,-75.885498,-7.045802,-20.946566
0.072754,0.358398,1.173828,-85.96183,-18.580153,-21.007633
0.074219,0.335938,1.133301,-82.32061,-28.458015,-21.625954
0.078369,0.323242,1.094971,-75.114502,-32.045803,-19.19084
0.079346,0.312012,1.052246,-73.694656,-31.893129,-14.664123
0.051758,0.299561,1.017334,12.625955,-40.312977,-4.122138
0.10083,0.365479,0.966064,-35.221375,-27.175573,-1.908397
0.092041,0.343018,0.905273,-60.610687,-16.839695,-3.328244
0.105957,0.346436,0.911133,-44.908398,-8.862596,0.236641
0.105469,0.366455,0.91626,-43.435116,1.557252,2.564885
0.095947,0.396729,0.894775,-47.847328,9.129771,3.931298
0.085449,0.428223,0.856445,-46.893131,14.320611,5.21374
0.079346,0.441895,0.842041,-60.053436,12.671756,4.648855
0.05835,0.459229,0.82959,-47.694656,9.755725,4.40458
0.053955,0.468994,0.821533,-51.549618,3.503817,3.038168
0.036621,0.479736,0.821045,-53.587788,-0.908397,1.167939
0.040283,0.480713,0.798096,-59.793892,-3.70229,-0.648855
0.036133,0.469971,0.811768,-60.34351,-3.587786,-2.122137
0.042969,0.470215,0.782715,-65.595421,-2.755725,-4.740458
0.047363,0.473633,0.78418,-69.824425,1.374046,-4.198473
0.041504,0.459229,0.79126,-75.259544,7.61832,-2.862595
0.025146,0.460693,0.799072,-78.374046,15.145039,-2.389313
0.02832,0.44458,0.843262,-78.687019,18.267176,1.183206
0.029785,0.418945,0.863037,-78.091606,20.725191,4.167939
0.037598,0.40332,0.875732,-82.824425,26.419847,7.847328
0.037354,0.400879,0.905029,-90.64122,26.465649,10.748092
0.02832,0.388672,0.914795,-92.251907,28.465649,12.320611
0.002441,0.340576,0.909668,-97.702293,25.938931,14.763359
-0.006348,0.325195,0.871094,-90.923668,26.083969,22.610687
-0.043701,0.302246,0.880615,-98.267174,25.091602,20.862595
-0.069336,0.249756,0.871094,-97.587784,26.114504,17.664122
-0.071777,0.210938,0.807129,-113.526718,27.328245,15.648855
-0.067139,0.203613,0.798828,-138.2061,37.015266,15.007633
-0.070312,0.252441,0.789062,-133.534348,46.290077,16.312977
-0.047119,0.295654,0.754639,-119.526718,54.35878,13.961832
-0.006836,0.355713,0.747314,-99.488548,69.977097,20.900763
0.001221,0.304443,0.761719,-64.587784,74.03817,21.610687
0.029297,0.296143,0.850098,-33.67939,68.977097,26.335878
0.025635,0.271973,0.934326,-22.763359,55.816795,25.335878
0.031494,0.229492,1.008057,-27.274809,29.503817,19.572519
0.027344,0.206055,0.98291,-57.053436,-2.610687,6.267176
0.049072,0.155029,0.909424,-94.755722,-26.641222,-6.854962
0.055176,0.110352,0.874756,-119.335876,-38.671757,-18.404581
0.048096,0.065918,0.877197,-127.35878,-40.335876,-24.229008
0.022461,0.075195,0.952637,-125.229004,-37.458015,-24.572519
-0.004639,0.085205,1.087891,-125.923668,-32.839695,-23.435114
0.005127,0.079102,1.138184,-123.725189,-19.854961,-20.694656
-0.020264,0.070801,1.155762,-114.687019,-12.633588,-19.603054
-0.039551,0.079102,1.141113,-99.496185,-3.045802,-11.267176
-0.039307,0.046143,1.137207,-83.290077,-2.419847,-7.526718
-0.018555,0.03125,1.025635,-82.221375,-0.618321,-6.816794
-0.039795,0.010498,0.949707,-87.435112,1.755725,-7.648855
-0.042725,-0.010742,0.859619,-91.32061,3.29771,-4.335878
-0.046631,-0.006836,0.874512,-102.068703,6.022901,-2.580153
-0.055908,-0.022949,0.912354,-106.725189,4.396946,-1.587786
-0.026367,-0.007812,0.95874,-111.28244,0.78626,1.648855
0.013184,-0.062988,1.07373,-109.435112,-4.480916,4.40458
0.094971,-0.134033,1.166992,-103.145035,-16.419847,0.900763
0.15918,-0.174316,1.126221,-106.221375,-15.091603,-7.549618
0.124023,-0.236084,0.99585,-101.129768,-2.51145,-12.122137
0.074951,-0.263916,0.878174,-106.908394,10.740458,-17.030535
0.03125,-0.266357,0.882568,-118.206108,23.908398,-15.587787
-0.007568,-0.275146,1.048096,-130.427475,25.748091,-14.480916
0.019531,-0.269775,1.250244,-144.030533,20.083969,-13.030535
0.048828,-0.276855,1.535156,-151.259537,9.137404,-22.717558
0.067627,-0.285156,1.636475,-143.916031,-7.022901,-31.541985
0.041504,-0.262207,1.516602,-141.183212,-21.030535,-29.732824
0.050537,-0.369629,1.406006,-146.396942,-40.305344,-26.114504
0.053711,-0.489014,1.192139,-149.297714,-61.801525,-25.633587
0.072021,-0.613281,1.038574,-147.870224,-78.748093,-19.671755
0.10791,-0.748291,0.898682,-139.229004,-84.893127,-15.610687
0.120117,-0.827148,0.766602,-126.755722,-74.129768,-8.732824
0.085449,-0.909424,0.75,-124.580154,-50.908398,-2.091603
0.065186,-0.94751,0.769287,-114.977097,-22.610687,6.045802
0.029297,-0.993408,0.753418,-107.022903,4.984733,10.564885
0.011963,-1.097168,0.818359,-102.190842,28.87023,13.076336
-0.003662,-1.170166,0.87793,-97.862595,35.526718,7.610687
-0.011963,-1.162354,0.953857,-108.633591,26.610687,4.564886
-0.009521,-1.172607,1.092773,-123.71756,10.992367,1.977099
-0.029541,-1.184082,1.109375,-132.145035,-5.89313,-4.671756
-0.061523,-1.201416,1.087891,-133.549622,-10.129771,-5.244275
-0.091309,-1.222168,1.10498,-124.083969,-3.480916,-8.030535
-0.126465,-1.258057,1.12085,-94.648857,12.015267,2.053435
-0.13916,-1.273438,1.14917,-62.206108,24.030535,16.007633
-0.161621,-1.231201,1.210938,-47.076336,27.38168,19.267176
-0.099854,-1.169434,1.401855,-38.137405,46.167938,20.557251
-0.072266,-1.200928,1.419678,-51.274811,46.893131,8.083969
0.031006,-1.276855,1.232666,-128.557251,28.778625,-14.541985
0.029053,-1.190918,1.356201,-77.0,33.70229,-1.992366
0.055176,-1.197266,1.147949,-83.35878,5.458015,-6.992366
-0.003662,-1.143799,1.010986,-71.671753,4.648855,-6.450382
0.004395,-1.094482,0.877441,-49.946564,-1.061069,-1.389313
0.008301,-0.986572,0.804932,-45.160305,14.091603,-0.458015
-0.008301,-0.954346,0.771729,-42.954197,18.221375,1.038168
0.047119,-0.909424,0.670166,5.152672,-2.259542,9.328244
0.104736,-0.85083,0.59082,28.572519,-2.709924,18.152672
0.152832,-0.831787,0.596924,27.503817,6.870229,19.206106
0.190918,-0.841553,0.565186,28.404581,1.89313,16.160305
0.222656,-0.821045,0.610352,10.832061,-0.740458,7.030534
0.229492,-0.811768,0.651611,-8.854961,-3.938931,-4.961832
0.208252,-0.797607,0.66333,-13.335877,-5.977099,-15.251908
0.170166,-0.775391,0.692139,-19.198473,1.061069,-21.595419
0.118164,-0.757324,0.80127,-15.244275,4.572519,-24.770992
0.075684,-0.73291,0.936279,-5.969466,1.083969,-26.427481
0.03833,-0.704834,1.036865,-6.709924,-0.961832,-27.51145
0.030518,-0.657471,1.030273,13.679389,-1.183206,-20.076336
0.020996,-0.677979,0.986572,11.664123,0.70229,-13.045801
-0.001221,-0.645508,0.976074,13.114504,-2.21374,-7.923664
-0.00708,-0.645264,1.005127,15.793893,1.740458,-3.709924
0.019287,-0.666992,0.984863,14.656488,8.007633,3.687023
0.041992,-0.666016,0.97876,28.541985,8.290076,8.549619
0.020996,-0.687256,0.95874,31.32061,13.717557,14.61832
0.028076,-0.685303,0.923584,34.015266,19.473282,18.282442
0.020996,-0.686523,0.852783,34.282444,28.61832,22.29771
-0.003906,-0.689697,0.811523,27.80916,37.923664,23.664122
-0.043457,-0.705811,0.786377,21.824427,42.961834,27.534351
-0.059814,-0.734131,0.815674,21.519083,42.335876,33.786259
-0.004395,-0.705322,0.897217,21.801527,41.908398,40.473282
0.019531,-0.661621,0.950684,21.70229,38.64122,43.442749
0.026123,-0.657715,0.990479,23.48855,36.129772,45.67939
0.019287,-0.663574,0.957275,30.38168,34.29771,45.832062
-0.001221,-0.667236,0.895508,36.312977,31.427481,46.244274
-0.023438,-0.693115,0.906982,39.916031,26.198473,46.083969
-0.034912,-0.72876,0.907959,42.839695,17.167938,46.053436
-0.036865,-0.743408,0.932617,41.603054,10.519084,43.610687
