AX,AY,AZ,GX,GY,GZ
0.077881,1.020508,0.155029,-2.534351,-5.0,-30.709923
0.027832,1.001953,0.143555,-0.068702,3.21374,-32.648853
-0.036621,1.006836,0.149414,3.435115,-4.854962,-30.969465
-0.077393,1.01123,0.119629,7.129771,-7.374046,-29.366413
-0.034668,1.000244,0.145264,9.557252,-7.473282,-33.923664
0.004639,1.004883,0.144043,11.007633,-9.816793,-37.465649
0.027832,1.002686,0.152588,12.106871,-11.877863,-40.366413
0.073242,1.00708,0.167236,11.389313,-14.160305,-42.29771
0.072021,0.998535,0.181396,10.045801,-12.984733,-43.816795
0.071533,0.995361,0.175293,8.755725,-11.297709,-44.435116
0.062256,0.978027,0.166016,6.740458,-7.068702,-44.396946
0.047119,0.964355,0.14624,4.419847,-4.10687,-44.198475
0.035889,0.962646,0.151611,1.557252,-0.19084,-44.625954
0.040527,0.959473,0.155518,-0.78626,2.923664,-46.389313
0.030762,0.954102,0.149414,-2.229008,6.343512,-48.374046
0.016602,0.954102,0.155029,-1.78626,7.259542,-49.786259
0.020752,0.942627,0.137207,0.10687,6.022901,-51.114502
0.019043,0.929199,0.119141,2.572519,7.580153,-52.274811
0.020264,0.919434,0.124756,3.938931,8.236641,-53.671757
-0.013672,0.907227,0.108643,4.068702,10.61832,-54.65649
-0.044922,0.888184,0.123047,1.572519,10.351145,-53.893131
-0.046387,0.893066,0.131592,-0.938931,6.862596,-53.603054
-0.010742,0.885986,0.140137,-2.458015,3.122137,-56.198475
0.009277,0.877441,0.150635,-1.717557,0.083969,-61.862595
0.006348,0.859863,0.160156,-2.969466,-0.541985,-67.877861
-0.017334,0.844727,0.161377,-3.969466,-2.916031,-72.587784
-0.035889,0.82666,0.156982,-5.0,-6.007634,-76.061066
-0.048828,0.83667,0.147461,-5.114504,-6.816794,-77.809158
-0.051514,0.822266,0.151611,-4.564886,-7.877862,-79.137405
-0.046875,0.812256,0.186035,-4.320611,-5.503817,-79.847328
-0.049805,0.807373,0.196045,-5.061069,-2.389313,-81.183205
-0.055908,0.806641,0.20166,-3.549618,0.778626,-82.900764
-0.088867,0.786865,0.170898,-1.740458,6.442748,-83.366409
-0.125,0.786377,0.154541,1.335878,10.038168,-83.381676
-0.147217,0.766113,0.157959,5.267176,13.236641,-84.473282
-0.177979,0.755371,0.161133,7.580153,11.969465,-85.0
-0.218994,0.746582,0.149414,9.59542,8.465649,-85.824425
-0.25708,0.715576,0.156494,11.603053,0.045802,-82.809158
-0.227783,0.672607,0.183838,12.106871,-11.793893,-79.503815
-0.181152,0.631836,0.217285,9.687023,-16.778625,-78.328247
-0.167236,0.571045,0.206543,13.152672,-12.458015,-83.473282
-0.210449,0.482666,0.218506,14.526717,-4.961832,-91.343513
-0.330566,0.394287,0.197998,15.725191,1.847328,-101.32061
-0.45459,0.334961,0.168457,17.061069,0.496183,-107.847328
-0.485107,0.30127,0.13501,22.954199,-11.106871,-107.610687
-0.424316,0.282227,0.141602,32.770992,-17.427481,-109.305344
-0.429932,0.330078,0.174805,36.38168,-17.022902,-111.740456
-0.453857,0.350586,0.153564,36.083969,-16.862595,-108.801529
-0.384521,0.368652,0.157471,27.526718,-21.534351,-109.480919
-0.455078,0.341064,0.134766,34.793892,-17.389313,-105.908394
-0.509277,0.29834,0.164795,34.70229,-11.274809,-110.816795
-0.496094,0.306641,0.09375,29.549618,-14.122137,-113.801529
-0.466553,0.344971,0.075195,32.152672,-9.916031,-120.96183
-0.421387,0.341309,0.11792,34.106869,-6.740458,-128.763351
-0.300781,0.337646,0.107178,30.854961,7.267176,-136.274811
-0.303223,0.317139,0.071289,29.305344,36.549618,-137.328247
-0.421143,0.308105,0.049316,19.740458,64.664124,-133.190842
-0.60791,0.260254,0.000732,7.045802,85.122139,-130.625961
-0.733398,0.26001,0.036133,-6.427481,81.786263,-131.061066
-0.774658,0.251953,0.037598,-14.145039,69.190842,-130.167938
-0.780029,0.233887,0.090088,-17.931297,61.160305,-131.92366
-0.719971,0.247559,0.117188,-13.160305,47.511452,-140.297714
-0.655029,0.260742,0.050537,-3.78626,38.916031,-150.56488
-0.680664,0.249023,0.025635,16.068703,29.480917,-161.328247
-0.763672,0.206055,0.061279,34.412212,10.007633,-169.893127
-0.802979,0.196533,0.08374,49.152672,5.396946,-173.992371
-0.931152,0.160645,0.099121,54.167938,5.442748,-167.770996
-0.907715,0.149902,0.11084,48.541985,1.763359,-156.29007
-0.903076,0.144531,0.066406,38.267174,11.106871,-144.56488
-0.863281,0.133057,0.07251,31.587786,16.938931,-135.496185
-0.848877,0.097656,0.061279,26.106871,18.916031,-132.92366
-0.836182,0.043945,0.007324,21.778625,13.717557,-137.56488
-0.793457,0.006836,-0.035889,19.541985,16.099237,-139.312973
-0.850342,-0.054932,-0.052734,18.67939,16.358778,-140.007629
-1.002686,-0.119385,-0.08667,17.87023,9.732824,-138.312973
-1.235107,-0.145752,-0.159912,24.801527,0.664122,-132.862595
-1.232666,-0.151855,-0.096924,32.954197,-12.549619,-128.496185
-1.04541,-0.119873,-0.014404,33.488548,-18.175573,-128.167938
-0.972656,-0.176758,0.010986,30.580153,-17.770992,-141.145035
-1.058105,-0.282715,0.052734,25.694656,-18.51145,-156.244278
-1.141113,-0.395264,0.042969,27.282442,-27.091602,-164.320618
-1.200684,-0.459229,0.032227,35.595421,-24.404581,-165.29007
-1.253418,-0.494385,0.019775,44.832062,-15.175572,-162.877869
-1.391357,-0.547119,-0.017334,51.557251,-8.770992,-150.053436
-1.401611,-0.622314,0.00415,50.053436,-5.748092,-126.519081
-1.203369,-0.76416,0.00293,42.801525,-0.992366,-109.648857
-1.151123,-0.87915,0.016113,41.740459,22.068703,-109.045799
-1.213379,-0.913574,-0.019531,42.793892,44.954197,-117.160309
-1.223633,-0.897217,-0.143066,55.969467,60.236641,-118.854965
-1.257324,-0.867676,-0.220703,60.396946,76.832062,-115.129768
-1.427734,-0.870605,-0.223145,55.206108,67.343513,-108.824425
-1.422852,-0.89502,-0.189697,41.603054,40.709923,-104.854965
-1.423584,-0.884521,-0.196045,26.282442,39.564884,-104.725189
-1.541992,-0.869385,-0.21875,22.076336,35.458015,-103.061066
-1.49585,-0.817627,-0.244385,22.282442,23.396946,-105.496185
-1.268311,-0.821045,-0.343018,37.167938,23.625954,-108.664124
-1.241455,-0.757324,-0.285156,36.122139,6.908397,-104.694656
-1.192871,-0.773926,-0.360352,45.145039,8.541985,-105.198471
-1.125732,-0.794922,-0.285645,51.282444,6.244275,-107.900764
-1.043945,-0.828369,-0.252441,49.557251,1.908397,-105.427483
-0.982422,-0.82666,-0.27417,44.374046,10.21374,-100.259544
-0.958984,-0.891113,-0.274658,43.412212,17.274809,-92.343513
-0.945068,-0.898193,-0.281982,40.770992,31.671755,-82.64122
-1.013184,-0.852051,-0.300049,34.282444,50.404579,-69.450378
-1.11084,-0.837891,-0.32373,21.717558,58.793892,-52.236641
-1.132324,-0.817383,-0.344971,7.030534,60.503819,-30.175573
-1.067627,-0.780273,-0.358643,-8.648855,68.053436,-11.152672
-1.039307,-0.748535,-0.394287,-16.358778,71.381676,7.870229
-0.972656,-0.728271,-0.387207,-25.801527,61.900764,16.282442
-0.901611,-0.699707,-0.374512,-34.374046,60.748093,19.465649
-0.820312,-0.698242,-0.350586,-40.045803,62.473282,16.854961
-0.755371,-0.677734,-0.314209,-44.236641,62.030533,12.312977
-0.790283,-0.655029,-0.300049,-47.419846,69.526718,9.022901
-0.910645,-0.639404,-0.300049,-49.061069,75.694656,8.557252
-0.94043,-0.605957,-0.270996,-46.488548,67.60305,11.931297
-0.843506,-0.533691,-0.236572,-39.809162,56.274811,10.938931
-0.715088,-0.486572,-0.220703,-33.458015,46.900764,3.755725
-0.657959,-0.457275,-0.184082,-30.709923,40.167938,-6.908397
-0.733887,-0.427002,-0.185303,-25.358778,31.557251,-13.229008
-0.845703,-0.418701,-0.189209,-20.221375,21.564886,-13.198473
-0.851074,-0.39209,-0.156494,-14.748092,9.053435,-9.870229
-0.782227,-0.373047,-0.156006,-10.358779,4.068702,-10.38168
-0.743652,-0.361816,-0.149658,-6.526718,1.961832,-8.78626
-0.757812,-0.354492,-0.153564,-6.580153,-1.19084,-6.80916
-0.783691,-0.361328,-0.176025,-4.267176,-1.694656,-4.48855
-0.780762,-0.359131,-0.17041,0.045802,-1.419847,-2.824427
-0.766846,-0.368896,-0.173096,4.320611,3.946565,-2.824427
-0.770508,-0.367432,-0.181885,5.687023,11.038168,-1.206107
-0.779297,-0.369873,-0.173584,7.152672,15.488549,1.625954
-0.820557,-0.367188,-0.169922,10.267176,18.305344,2.664122
-0.842529,-0.390869,-0.181396,13.473283,19.404581,5.396946
-0.858643,-0.401123,-0.181641,14.030535,22.099237,8.221375
-0.876221,-0.414795,-0.190918,15.679389,23.480917,11.770992
-0.882324,-0.406738,-0.183838,18.015266,23.572519,12.114504
