AX,AY,AZ,GX,GY,GZ
-0.012207,0.986572,0.205811,-24.305344,-15.145039,-2.282443
-0.028564,0.973145,0.199463,-33.167938,-25.366413,-2.679389
-0.036621,0.98291,0.173828,-40.183205,-30.351145,-2.801527
-0.050781,0.966553,0.142578,-43.091602,-29.519083,-1.099237
-0.031982,0.96167,0.117188,-37.114502,-26.839695,2.862595
-0.004639,0.948242,0.09375,-22.610687,-20.045801,9.40458
0.015869,0.921387,0.062988,-11.854961,-11.923664,15.145039
0.043945,0.90625,-0.005859,-10.083969,-2.580153,16.961832
0.057129,0.871826,-0.023438,-4.633588,10.045801,15.885496
0.060059,0.866211,-0.040771,-2.167939,21.427481,12.328244
0.059326,0.862549,-0.075684,-5.839694,28.885496,11.236641
0.067139,0.849854,-0.070801,-20.389313,33.648853,11.465649
0.078369,0.847168,-0.037109,-34.129772,37.198475,9.183207
0.076416,0.854492,0.039062,-36.465649,35.954197,7.984733
0.078857,0.896973,0.118408,-43.488548,30.076336,5.862596
0.065186,0.90918,0.17041,-54.099236,19.160305,4.312977
0.067871,0.922119,0.206055,-57.076336,6.824428,3.328244
0.05249,0.941162,0.195801,-60.778625,-3.473282,1.946565
0.028809,0.944336,0.199463,-66.251907,-9.251908,1.427481
0.028564,0.921875,0.234375,-66.572517,-10.954199,1.312977
0.025146,0.898193,0.267578,-66.67939,-11.251908,0.320611
0.036621,0.888916,0.289307,-65.366409,-8.816793,-0.358779
0.047607,0.867432,0.307617,-61.190838,-6.748092,-2.656489
0.052979,0.86084,0.282471,-59.770992,-4.78626,-7.251908
0.039307,0.864746,0.274658,-61.282444,-1.854962,-10.488549
0.024658,0.851074,0.282959,-64.740456,-2.847328,-13.236641
0.008545,0.852295,0.322754,-62.961834,-4.282443,-15.167939
-0.001953,0.856201,0.388428,-60.152672,-4.625954,-15.702291
-0.01416,0.842041,0.439209,-59.519085,-6.854962,-15.282443
-0.016357,0.825195,0.460449,-61.129772,-10.21374,-15.160305
-0.018066,0.818115,0.468262,-61.526718,-12.229008,-14.343512
-0.019775,0.794922,0.484863,-60.755726,-14.458015,-13.076336
-0.011963,0.769531,0.509277,-62.221375,-15.916031,-13.40458
-0.021484,0.757812,0.509277,-63.091602,-17.412214,-14.038168
-0.020264,0.739014,0.501465,-62.9771,-17.328245,-13.19084
-0.008789,0.729248,0.499268,-61.572517,-15.435115,-12.320611
-0.015625,0.733154,0.520264,-63.671757,-12.419847,-12.374045
-0.023682,0.719238,0.526367,-65.183205,-10.885496,-11.732824
-0.031494,0.710205,0.535889,-64.030533,-11.488549,-10.274809
-0.051025,0.718506,0.55127,-63.274811,-11.969465,-8.122137
-0.052734,0.731934,0.557129,-66.335876,-10.145039,-5.534351
-0.056641,0.730225,0.576172,-68.793892,-6.229008,-2.816794
-0.07251,0.718994,0.578857,-70.832062,-1.59542,-0.51145
-0.095215,0.686523,0.583252,-69.923668,1.343511,1.374046
-0.109863,0.654785,0.596191,-66.068703,3.793893,3.496183
-0.12915,0.633301,0.588379,-62.748093,7.21374,6.312977
-0.126465,0.639648,0.578125,-58.29771,9.389313,9.778625
-0.119141,0.671875,0.584961,-56.106869,14.022901,11.694656
-0.124512,0.651367,0.586914,-57.900764,18.435114,10.977099
-0.137451,0.648438,0.628174,-51.053436,18.832062,9.167939
-0.136963,0.674316,0.612793,-47.335876,17.732824,10.366412
-0.115723,0.677979,0.575684,-46.450382,12.427481,14.778625
-0.084961,0.665771,0.56665,-39.671757,2.847328,17.916031
-0.056396,0.663574,0.518311,-36.267174,-12.007633,17.862595
-0.02002,0.658447,0.488525,-41.603054,-22.641222,14.343512
0.007324,0.671143,0.488281,-45.519085,-29.427481,12.076336
0.026367,0.688965,0.51709,-51.877861,-32.877861,10.221375
0.060547,0.708496,0.553955,-61.106869,-30.70229,10.717557
0.113281,0.719238,0.588867,-63.954197,-27.793894,9.862596
0.176514,0.727783,0.603271,-66.893127,-24.557251,5.068702
0.210205,0.717285,0.580811,-67.167938,-20.0,-0.458015
0.19873,0.697998,0.581787,-72.839691,-15.916031,-7.564886
0.151367,0.689941,0.578369,-82.389313,-14.122137,-12.175572
0.120605,0.682129,0.598389,-83.290077,-15.770992,-13.290076
0.130615,0.656494,0.627197,-78.106873,-19.824427,-15.816793
0.162598,0.641602,0.608643,-75.839691,-24.770992,-15.832061
0.216309,0.653564,0.595215,-79.152672,-27.0,-16.969465
0.237305,0.623779,0.575439,-89.274811,-21.717558,-20.694656
0.190674,0.621826,0.562012,-97.572517,-13.274809,-27.030535
0.088867,0.630615,0.595703,-113.748093,-4.503817,-31.503817
-0.008789,0.636963,0.635498,-129.839691,-0.48855,-36.160305
-0.074219,0.694824,0.744629,-125.28244,0.389313,-32.045803
-0.064941,0.727783,0.801514,-119.854965,5.580153,-31.633587
-0.046875,0.746094,0.849609,-113.045799,12.083969,-29.12977
-0.040039,0.753662,0.842529,-110.290077,18.80916,-28.32061
-0.062256,0.778809,0.797119,-107.740456,26.267176,-24.206106
-0.075928,0.82251,0.803711,-99.564888,30.335878,-11.839695
-0.091064,0.822998,0.747559,-86.03817,29.091602,5.40458
-0.078125,0.727051,0.716064,-79.877861,26.404581,17.992367
-0.057861,0.61499,0.656738,-82.236641,28.625954,27.694656
-0.018311,0.527588,0.636475,-89.183205,32.839695,32.145039
-0.025635,0.415039,0.641846,-91.236641,35.076336,31.61832
0.010254,0.310547,0.671875,-102.519081,39.824429,22.259542
0.004639,0.254639,0.71875,-116.328247,44.587788,7.282443
-0.011963,0.224854,0.786865,-131.198471,47.65649,-1.877863
-0.017578,0.224609,0.870361,-146.56488,46.595421,-7.885496
-0.019531,0.255615,0.941162,-160.244278,44.725189,-14.549619
-0.033203,0.280518,1.01001,-164.099243,41.931297,-15.717557
-0.036377,0.312988,1.07251,-155.267181,39.595421,-15.946565
-0.049561,0.330811,1.150635,-144.038162,36.427483,-15.931297
-0.072266,0.331543,1.206787,-132.351151,32.709923,-16.938931
-0.09668,0.314697,1.236328,-126.587784,26.70229,-19.671755
-0.109863,0.275146,1.243164,-128.763351,16.442749,-18.847328
-0.121582,0.139893,1.210205,-135.526718,5.236641,-17.450382
-0.138916,-0.07959,1.152344,-142.7939,-5.091603,-14.587787
-0.149902,-0.31665,1.174805,-150.091599,-8.358779,-13.633588
