AX,AY,AZ,GX,GY,GZ
0.090576,0.981934,0.060547,-6.458015,-2.725191,5.954198
0.07666,0.994629,0.050049,-5.687023,-2.48855,4.900764
0.074951,0.993164,0.065918,-5.167939,-3.641221,2.770992
0.058838,0.989746,0.053223,-4.885496,-4.694656,1.557252
0.059326,1.002686,0.067871,-4.374046,-4.29771,2.183206
0.047119,0.998291,0.061523,-3.015267,-3.984733,2.679389
0.036133,1.007568,0.064209,-1.465649,-2.328244,3.587786
0.027832,1.026611,0.070557,-0.603053,-1.083969,2.931298
0.017578,1.01709,0.074707,-0.175573,-1.21374,2.793893
0.000244,1.028809,0.081543,-0.549618,-1.366412,5.030534
0.010254,1.025635,0.077393,-1.450382,-2.10687,8.961832
-0.018555,1.019531,0.073242,0.923664,-2.320611,8.366412
-0.037598,1.022705,0.055176,1.503817,0.473282,13.824428
-0.052734,1.036133,0.05835,2.419847,3.603053,16.824427
-0.074463,1.047363,0.068848,2.083969,6.015267,16.19084
-0.107666,1.05127,0.080078,2.877863,4.312977,16.938931
-0.125732,1.043213,0.086426,3.10687,-0.389313,14.961832
-0.129883,1.022705,0.088867,3.167939,-6.282443,7.78626
-0.11499,1.011475,0.07251,2.900763,-11.671756,-0.625954
-0.115479,1.019287,0.064941,2.801527,-14.59542,-4.519084
-0.122314,1.032959,0.054688,2.717557,-13.045801,-6.160306
-0.114014,1.046875,0.042725,2.022901,-13.572519,-4.251908
-0.108887,1.028564,0.054688,-0.618321,-13.557252,-1.442748
-0.10083,0.980957,0.008789,-0.732824,-11.351145,12.702291
-0.117432,0.910156,0.008789,-7.900764,0.038168,36.282444
-0.144775,0.927979,-0.001221,-10.946565,8.664123,49.854961
-0.227051,0.928711,0.019775,-13.80916,12.725191,54.908398
-0.296387,0.942383,0.035156,-14.236641,10.687023,53.0
-0.299805,0.976807,0.048584,-14.0,4.740458,43.709923
-0.247559,1.013428,0.02832,-11.236641,-3.412214,35.099236
-0.21167,1.021973,-0.01123,-7.59542,-4.969466,37.068703
-0.195312,1.031494,-0.02832,-5.251908,0.10687,45.717556
-0.173828,1.029785,-0.029541,-4.450382,5.465649,54.473282
-0.163818,1.01709,-0.028564,-2.908397,6.778626,62.282444
-0.165527,1.013428,-0.032471,-2.312977,7.679389,64.908394
-0.188721,1.016113,-0.035889,-2.427481,6.587786,66.35878
-0.188721,1.038574,-0.043213,-3.442748,4.244275,65.992363
-0.177002,1.051514,-0.058594,-5.885496,1.091603,65.198471
-0.143066,1.026123,-0.061035,-6.961832,-2.251908,62.816795
-0.106445,1.008545,-0.066406,-8.221375,-6.465649,61.694656
-0.07959,0.983154,-0.052734,-10.725191,-13.198473,65.160309
-0.053223,0.987793,-0.033203,-13.519084,-23.083969,69.03817
-0.026611,0.94751,-0.032715,-17.053434,-32.274811,77.259544
0.000977,0.901855,-0.033203,-19.198473,-38.67939,86.740456
0.032959,0.841797,-0.017578,-20.465649,-40.099236,94.946564
0.07373,0.792725,-0.018555,-18.435114,-33.465649,95.816795
0.109375,0.771484,-0.033203,-14.206107,-20.709923,94.335876
0.126709,0.76709,-0.035645,-8.351145,-7.412214,92.908394
0.157227,0.721436,-0.056641,-1.083969,9.175572,85.083969
0.178955,0.756104,-0.033447,4.725191,21.244274,80.664124
0.220947,0.783203,-0.016113,7.832061,25.305344,83.450378
0.248535,0.774414,-0.003662,7.519084,23.503817,86.343513
0.240479,0.734863,0.022461,5.526718,16.496183,91.664124
0.246582,0.718018,0.04248,5.091603,11.343512,97.564888
0.268066,0.6875,0.055176,3.89313,6.572519,101.893127
0.293213,0.660156,0.055664,2.091603,2.679389,105.221375
0.316406,0.645508,0.054932,0.045802,0.603053,106.328247
0.306152,0.651611,0.04834,-2.740458,0.167939,108.32061
0.299805,0.669678,0.031738,-6.412214,-2.946565,108.870232
0.310059,0.673584,0.01416,-12.511451,-7.198473,102.870232
0.367676,0.649658,-0.00293,-20.435114,-1.816794,89.083969
0.468262,0.591064,-0.009766,-25.12977,9.816793,81.381676
0.596924,0.56665,-0.025635,-25.198473,20.648855,83.938934
0.688477,0.562744,-0.01001,-20.366413,29.251909,98.816795
0.733154,0.573242,0.00293,-15.946565,31.312977,111.381676
0.781982,0.591309,0.022705,-14.145039,27.763359,119.083969
0.798584,0.607666,0.046875,-9.977099,21.816793,138.748093
0.76709,0.605225,0.071533,-5.145038,19.106871,154.839691
0.666992,0.5896,0.094482,-4.587786,17.580153,159.839691
0.578125,0.517334,0.127197,-5.076336,18.022902,147.938934
0.599365,0.496094,0.145996,-5.801527,14.671756,119.816795
0.567627,0.439453,0.128418,-4.839694,9.076336,118.893127
0.575439,0.419922,0.115967,-7.572519,1.534351,103.946564
0.616211,0.371094,0.097168,-7.312977,0.152672,93.28244
0.607178,0.28418,0.126465,-4.343512,4.366412,89.053436
0.633301,0.3125,0.160645,-4.076336,7.793893,98.274811
0.716797,0.318115,0.194824,-5.412214,6.900764,114.404579
0.751709,0.265381,0.200439,-4.946565,4.305344,128.610687
0.793457,0.200439,0.190186,-5.854962,4.908397,139.312973
0.801025,0.119385,0.197754,-5.969466,1.984733,135.916031
0.836426,0.055908,0.186768,-2.977099,2.206107,129.984726
0.864258,0.042725,0.171875,-0.984733,3.717557,124.580154
0.831055,0.084473,0.178955,1.503817,-3.656489,109.221375
0.849609,0.101807,0.145264,1.183206,-9.419847,96.595421
0.862061,0.102539,0.101318,2.274809,-10.229008,92.977097
0.863525,0.144531,0.090088,3.908397,-8.229008,94.137405
0.861084,0.163818,0.076416,4.053435,-3.549618,104.122139
0.823486,0.208496,0.071045,0.458015,0.572519,116.748093
0.824463,0.228516,0.074951,-2.572519,2.152672,124.916031
0.772705,0.20874,0.069824,-6.70229,6.557252,125.946564
0.746338,0.206787,0.070068,-11.709924,14.167939,122.824425
0.75293,0.185059,0.063477,-16.48855,21.526718,120.343513
