AX,AY,AZ,GX,GY,GZ
-0.009766,0.760986,-0.524414,26.48855,-1.442748,3.687023
-0.011475,0.741211,-0.527588,24.717558,-1.648855,3.59542
-0.005371,0.739258,-0.536621,22.503817,-1.618321,3.083969
-0.026123,0.741211,-0.533936,21.770992,-1.664122,2.816794
-0.020264,0.737549,-0.53125,22.862595,-1.633588,2.770992
-0.024414,0.739014,-0.522217,22.900763,-1.80916,2.923664
-0.01709,0.737549,-0.523682,26.053434,-1.709924,3.740458
-0.013916,0.737305,-0.526855,27.992367,-0.847328,3.519084
-0.012451,0.734863,-0.529297,26.083969,-0.274809,2.832061
-0.017822,0.739258,-0.533691,25.221375,-0.633588,2.19084
-0.022461,0.739014,-0.530518,24.351145,-0.648855,1.29771
-0.015869,0.731934,-0.513184,25.221375,-0.21374,1.045802
-0.011475,0.736084,-0.525635,29.29771,0.824427,1.10687
-0.011963,0.719482,-0.537598,32.328243,1.587786,1.045802
-0.006592,0.712402,-0.550293,34.030533,2.824427,1.022901
-0.011719,0.707031,-0.549316,33.396946,3.618321,1.068702
-0.005615,0.693115,-0.555664,32.587788,4.343512,0.40458
-0.013184,0.679688,-0.578125,31.709923,4.412214,0.587786
-0.018066,0.684326,-0.581787,31.717558,4.549618,1.152672
-0.021484,0.681396,-0.577148,32.328243,4.89313,1.755725
-0.025879,0.686035,-0.571777,32.290077,4.992366,2.526718
-0.030029,0.685791,-0.576416,32.183205,4.282443,2.633588
-0.030762,0.675049,-0.59082,32.847328,3.19084,2.335878
-0.027588,0.680908,-0.59375,35.129772,2.435115,2.442748
-0.030273,0.668701,-0.598389,37.099236,2.229008,3.244275
-0.028809,0.657227,-0.593994,39.419846,2.931298,4.38168
-0.029785,0.649902,-0.606934,40.473282,4.244275,5.40458
-0.029785,0.644043,-0.625244,40.740459,5.053435,6.312977
-0.027588,0.623047,-0.640869,38.694656,4.267176,5.709924
-0.03418,0.616455,-0.639648,34.114502,2.694656,4.343512
-0.027344,0.610352,-0.648438,30.587786,0.465649,3.885496
-0.02832,0.607178,-0.646973,27.938931,-1.862595,3.900763
-0.03125,0.604248,-0.650879,27.450382,-4.091603,5.015267
-0.01709,0.606445,-0.638916,29.755726,-5.687023,6.664122
-0.010254,0.606201,-0.629639,31.572519,-4.900764,8.38168
-0.003906,0.598145,-0.630859,35.458015,-3.10687,10.435115
0.012451,0.595459,-0.634521,37.480915,-0.763359,11.328244
0.009521,0.587646,-0.634521,39.083969,0.320611,11.122137
0.012695,0.58252,-0.650635,42.061069,0.839695,10.877863
0.008301,0.575195,-0.652832,46.549618,0.687023,10.442748
0.012451,0.582275,-0.661621,50.824429,-0.152672,10.198473
0.011475,0.569824,-0.659424,53.251907,-0.656489,8.778625
0.012207,0.559082,-0.67627,52.503819,-1.076336,6.129771
0.011719,0.543457,-0.702637,51.610687,-1.045802,5.610687
0.005859,0.527588,-0.701172,48.442749,-0.885496,5.198473
0.008057,0.513916,-0.714111,46.9771,-1.091603,5.396946
0.008545,0.51001,-0.730957,45.648853,-0.770992,5.969466
-0.000488,0.506836,-0.727539,44.267174,-0.10687,6.648855
0.0,0.499512,-0.759277,42.267174,0.366412,7.59542
-0.005371,0.496826,-0.754395,40.916031,-0.114504,8.167939
-0.00708,0.495605,-0.77002,40.045803,-0.320611,8.389313
-0.003662,0.487061,-0.760254,39.175571,-0.320611,8.687023
0.000732,0.472656,-0.76709,39.389313,-0.725191,8.633588
-0.009521,0.469238,-0.737305,41.068703,-0.938931,8.396947
-0.006104,0.473145,-0.737793,42.526718,-1.038168,7.450382
-0.005859,0.482178,-0.743652,44.503819,-1.183206,6.732824
-0.015625,0.486084,-0.737305,45.603054,-1.938931,5.641222
-0.018066,0.488281,-0.739502,45.251907,-2.145038,4.687023
-0.026855,0.486084,-0.736084,47.145039,-2.633588,4.847328
-0.022461,0.471924,-0.717041,48.70229,-3.267176,5.442748
-0.020508,0.465576,-0.712646,50.030533,-4.145038,5.503817
-0.020996,0.463135,-0.699951,49.748093,-5.030534,4.931298
-0.020264,0.466553,-0.70459,48.763359,-5.045802,3.687023
-0.030273,0.463379,-0.709229,47.061069,-4.206107,2.389313
-0.043213,0.450928,-0.711182,46.748093,-2.824427,1.763359
-0.044189,0.443848,-0.714111,47.992367,-1.351145,1.610687
-0.039307,0.432861,-0.704102,48.694656,0.015267,1.198473
-0.037354,0.414307,-0.700439,50.557251,1.015267,1.320611
-0.019287,0.404785,-0.705322,53.587788,2.145038,1.679389
-0.012451,0.400635,-0.677979,55.793892,2.251908,1.320611
0.009277,0.393311,-0.664551,55.64122,3.351145,0.770992
0.016113,0.391846,-0.674072,59.312977,4.839694,0.587786
0.018555,0.379883,-0.671143,63.290077,6.480916,0.824427
0.014648,0.36792,-0.66626,63.854961,7.59542,0.366412
0.018799,0.355957,-0.672852,68.519081,7.923664,0.961832
0.007568,0.343994,-0.651611,67.458015,8.916031,0.572519
0.008545,0.3396,-0.668457,63.931297,7.70229,-0.335878
0.008057,0.334229,-0.6521,61.160305,5.717557,-0.862595
0.021729,0.329346,-0.643555,62.496181,4.89313,-0.80916
0.030029,0.323486,-0.630615,67.244278,4.259542,-0.244275
0.044434,0.322754,-0.60791,69.992363,5.396946,-0.152672
0.053467,0.299561,-0.587158,71.64122,6.38168,-0.603053
0.059082,0.301025,-0.55835,73.236641,8.572519,-1.671756
0.057373,0.286133,-0.548584,77.770996,11.259542,-2.557252
0.043701,0.273926,-0.531982,82.488548,12.748092,-3.137405
