AX,AY,AZ,GX,GY,GZ
0.117432,0.985596,0.115234,0.862595,0.244275,-20.793894
0.116699,0.99292,0.114014,1.206107,1.335878,-18.526718
0.124756,0.984619,0.11377,1.206107,1.824427,-16.175573
0.137451,0.989746,0.117188,1.282443,1.832061,-14.763359
0.148682,0.993408,0.098877,0.717557,1.290076,-15.335877
0.151367,1.00293,0.090576,-0.091603,-0.465649,-19.900763
0.154785,1.021484,0.08667,-0.778626,-1.778626,-25.312977
0.149658,1.020996,0.10083,-1.633588,-3.267176,-27.198473
0.150879,0.994873,0.11499,-1.977099,-4.312977,-25.916031
0.166016,0.988281,0.132568,-1.519084,-4.236641,-22.694656
0.162842,0.994629,0.12793,-0.305344,-3.305344,-21.763359
0.170654,1.002686,0.114014,-0.51145,-3.0,-23.580153
0.172852,0.99707,0.114258,-0.877863,-2.709924,-28.038168
0.182373,0.993652,0.109131,-0.206107,-2.549618,-32.282444
0.185547,0.992676,0.100342,-0.687023,-3.129771,-34.595421
0.202881,0.964355,0.093506,-0.175573,-2.862595,-35.374046
0.196777,0.952148,0.102539,0.587786,-3.206107,-36.862595
0.191406,0.95752,0.099365,1.450382,-3.862595,-35.755726
0.195557,0.963135,0.099609,1.977099,-4.541985,-37.961834
0.185547,0.971924,0.103271,2.0,-5.099236,-41.916031
0.171143,0.978516,0.099365,2.068702,-5.091603,-44.068703
0.155762,0.982178,0.111328,2.48855,-5.290076,-45.648853
0.135498,0.974854,0.106445,2.89313,-5.465649,-46.35878
0.131592,0.962402,0.115479,3.10687,-5.687023,-46.954197
0.118408,0.960449,0.103516,2.931298,-5.549618,-47.64122
0.088135,0.955078,0.106445,2.641221,-6.137404,-48.549618
0.088623,0.951172,0.102539,1.725191,-6.312977,-51.396946
0.077393,0.940918,0.106934,0.992366,-5.954198,-54.419846
0.066406,0.936035,0.117676,0.030534,-4.954198,-55.366413
0.052002,0.911865,0.126953,-0.229008,-3.10687,-55.458015
0.039795,0.895508,0.130615,-0.099237,-1.381679,-54.038166
0.02124,0.884766,0.125732,-0.419847,-0.076336,-51.900764
0.006348,0.878418,0.116455,-0.839695,0.374046,-50.984734
0.005615,0.884766,0.105713,-1.389313,0.48855,-50.64122
-0.022461,0.895996,0.109619,-2.465649,0.053435,-50.931297
-0.051514,0.902344,0.117188,-2.801527,-1.557252,-55.137405
-0.054443,0.898926,0.106445,-3.625954,-4.29771,-57.832062
-0.053467,0.890869,0.111572,-4.633588,-7.412214,-61.099236
-0.048584,0.873779,0.103027,-5.328244,-9.496183,-63.717556
-0.040039,0.854492,0.09668,-6.351145,-11.061069,-66.442749
-0.024414,0.84082,0.104004,-5.938931,-11.664123,-69.534348
-0.012939,0.822998,0.098389,-5.633588,-11.358779,-71.419846
-0.005859,0.822266,0.106934,-4.91603,-9.992367,-71.60305
-0.004395,0.82666,0.114014,-3.648855,-6.770992,-73.770996
-0.004883,0.841553,0.105225,-3.053435,-2.908397,-75.526718
-0.039307,0.8479,0.099609,-2.763359,-0.083969,-76.35878
-0.073242,0.825195,0.102051,-3.198473,1.21374,-75.28244
-0.093506,0.812744,0.111328,-4.038168,0.961832,-72.183205
-0.126465,0.79126,0.107422,-4.076336,-0.473282,-69.748093
-0.112305,0.80249,0.111572,-3.80916,-1.519084,-70.832062
-0.08667,0.785645,0.115967,-3.541985,0.19084,-73.39695
-0.087646,0.766357,0.119141,-3.572519,3.694656,-80.458015
-0.128906,0.749023,0.124023,-2.89313,7.503817,-87.022903
-0.185303,0.72583,0.166748,-1.145038,9.938931,-88.610687
-0.227051,0.722656,0.177734,0.343511,11.832061,-88.374046
-0.287598,0.730957,0.197021,0.977099,13.183207,-89.343513
-0.353516,0.724365,0.204346,0.580153,12.442748,-90.96183
