AX,AY,AZ,GX,GY,GZ
-0.145752,0.905273,0.393799,-16.175573,2.923664,-3.320611
-0.151123,0.908447,0.385254,-16.32061,3.282443,-4.343512
-0.146973,0.902588,0.394287,-17.893129,5.007634,-4.679389
-0.153809,0.904785,0.394043,-18.564886,5.59542,-4.938931
-0.154297,0.89917,0.407471,-18.732824,4.923664,-5.496183
-0.152588,0.895264,0.403809,-18.763359,3.603053,-6.061069
-0.153809,0.889648,0.404785,-20.335878,1.954198,-6.145038
-0.152832,0.884521,0.395752,-22.358778,0.946565,-6.473282
-0.157715,0.879883,0.40625,-22.938931,-0.251908,-6.480916
-0.165283,0.884033,0.401611,-22.992367,-1.480916,-6.473282
-0.163818,0.875,0.407959,-23.954199,-3.022901,-6.274809
-0.157227,0.877441,0.404297,-25.633587,-3.78626,-5.832061
-0.157715,0.873047,0.390381,-26.480917,-4.694656,-5.793893
-0.151611,0.87207,0.380859,-28.664122,-5.053435,-5.625954
-0.146729,0.868408,0.403564,-27.259542,-4.564886,-7.244275
-0.151611,0.856934,0.414795,-26.106871,-5.366412,-8.61832
-0.160645,0.866943,0.407715,-25.763359,-5.557252,-9.519084
-0.175537,0.856689,0.403809,-28.137405,-5.473282,-9.374045
-0.184326,0.853027,0.416748,-31.480917,-4.343512,-9.343512
-0.188965,0.842041,0.461182,-32.893131,-5.007634,-8.770992
-0.189941,0.826172,0.480469,-32.282444,-7.312977,-8.297709
-0.188965,0.816162,0.484375,-30.763359,-9.648855,-8.419847
-0.182617,0.821045,0.488281,-31.755726,-11.068703,-7.992366
-0.181152,0.809814,0.503418,-32.717556,-11.259542,-7.290076
-0.183105,0.799072,0.510254,-33.435116,-10.221375,-7.419847
-0.193604,0.799072,0.541992,-34.740459,-7.977099,-6.78626
-0.196289,0.781738,0.57373,-35.480915,-6.229008,-7.160306
-0.211182,0.784912,0.590576,-35.206108,-4.832061,-6.229008
-0.206543,0.7771,0.606445,-36.175571,-3.839695,-5.801527
-0.210205,0.765381,0.637939,-35.435116,-3.587786,-5.572519
-0.216309,0.780029,0.647949,-35.419846,-3.732824,-8.519084
-0.192383,0.743896,0.664795,-35.65649,-4.870229,-8.152672
-0.200684,0.760498,0.670898,-35.213741,-5.984733,-6.740458
-0.200195,0.75,0.684082,-33.335876,-9.007633,-5.816794
-0.18457,0.751709,0.705566,-31.748091,-11.641221,-6.496183
-0.186035,0.766357,0.7146,-30.442749,-12.931297,-5.114504
-0.17041,0.761963,0.717285,-30.076336,-14.610687,-4.076336
-0.169922,0.751465,0.737549,-26.694656,-15.396947,-2.824427
-0.170654,0.746582,0.708984,-26.748091,-16.267176,-0.732824
-0.175049,0.741211,0.689453,-28.648855,-13.854961,0.053435
